Category,Location,Severity,Urgency,Priority
Medical Emergency,College,1,5,MEDIUM
Unsafe Location,Residential Area,1,2,LOW
Accident,Railway Station,2,3,MEDIUM
Assault,Park,5,4,HIGH
Suspicious Activity,Bus Stop,3,4,MEDIUM
Accident,Railway Station,1,2,LOW
Accident,Railway Station,3,5,MEDIUM
Accident,Railway Station,2,4,MEDIUM
Assault,Road,3,3,MEDIUM
Medical Emergency,Bus Stop,5,3,MEDIUM
Other,Hostel,1,4,MEDIUM
Threat,Road,3,4,MEDIUM
Threat,Residential Area,3,5,MEDIUM
Unsafe Location,Bus Stop,2,2,LOW
Other,Railway Station,4,1,MEDIUM
Unsafe Location,Market,1,4,MEDIUM
Harassment,Market,3,1,MEDIUM
Harassment,Market,2,2,LOW
Suspicious Activity,Park,2,3,MEDIUM
Suspicious Activity,Residential Area,4,3,MEDIUM
Harassment,Market,2,4,MEDIUM
Harassment,Road,4,1,MEDIUM
Assault,Hostel,2,4,MEDIUM
Other,Railway Station,1,4,MEDIUM
Suspicious Activity,Road,5,1,MEDIUM
Unsafe Location,Park,3,1,MEDIUM
Threat,College,5,3,MEDIUM
Medical Emergency,Park,5,5,CRITICAL
Other,Residential Area,2,2,LOW
Assault,Residential Area,5,4,HIGH
Other,Railway Station,5,2,MEDIUM
Threat,Market,5,4,HIGH
Suspicious Activity,Park,5,4,HIGH
Assault,Market,3,3,MEDIUM
Threat,Hostel,1,3,MEDIUM
Unsafe Location,Residential Area,4,3,MEDIUM
Medical Emergency,College,4,5,HIGH
Accident,Road,5,3,MEDIUM
Unsafe Location,Residential Area,1,5,MEDIUM
Harassment,Market,1,1,LOW
Assault,Residential Area,2,5,MEDIUM
Medical Emergency,Market,5,2,MEDIUM
Accident,Park,3,3,MEDIUM
Threat,Railway Station,2,1,LOW
Medical Emergency,Market,5,5,CRITICAL
Other,Hostel,3,2,MEDIUM
Unsafe Location,Residential Area,1,4,MEDIUM
Medical Emergency,Railway Station,3,2,MEDIUM
Medical Emergency,Hostel,5,2,MEDIUM
Suspicious Activity,Market,3,2,MEDIUM
Assault,Park,5,5,CRITICAL
Other,Hostel,5,5,CRITICAL
Suspicious Activity,Residential Area,3,4,MEDIUM
Suspicious Activity,Road,3,1,MEDIUM
Threat,College,1,5,MEDIUM
Medical Emergency,College,1,2,LOW
Threat,Hostel,4,5,HIGH
Assault,Hostel,3,3,MEDIUM
Assault,Road,3,1,MEDIUM
Suspicious Activity,Residential Area,5,1,MEDIUM
Assault,Hostel,1,4,MEDIUM
Accident,College,4,5,HIGH
Accident,Hostel,4,4,HIGH
Harassment,Park,4,4,HIGH
Suspicious Activity,Market,2,2,LOW
Other,College,3,3,MEDIUM
Assault,Residential Area,3,1,MEDIUM
Threat,Bus Stop,4,4,HIGH
Suspicious Activity,Road,4,1,MEDIUM
Threat,Hostel,3,2,MEDIUM
Other,Market,3,1,MEDIUM
Other,Park,1,5,MEDIUM
Medical Emergency,College,5,2,MEDIUM
Harassment,Railway Station,2,4,MEDIUM
Threat,Railway Station,5,2,MEDIUM
Medical Emergency,Railway Station,4,2,MEDIUM
Other,Hostel,4,3,MEDIUM
Harassment,Railway Station,4,1,MEDIUM
Suspicious Activity,College,1,2,LOW
Assault,Residential Area,5,4,HIGH
Medical Emergency,College,4,3,MEDIUM
Threat,Hostel,1,4,MEDIUM
Harassment,Hostel,4,4,HIGH
Medical Emergency,Market,1,5,MEDIUM
Accident,College,1,5,MEDIUM
Harassment,Railway Station,1,3,MEDIUM
Assault,Railway Station,4,5,HIGH
Unsafe Location,Bus Stop,5,1,MEDIUM
Other,Residential Area,3,2,MEDIUM
Suspicious Activity,Road,2,3,MEDIUM
Accident,Railway Station,1,5,MEDIUM
Suspicious Activity,Market,2,4,MEDIUM
Threat,Market,1,3,MEDIUM
Other,Road,1,2,LOW
Accident,Railway Station,3,4,MEDIUM
Harassment,Market,2,3,MEDIUM
Unsafe Location,Hostel,5,4,HIGH
Other,Market,1,1,LOW
Assault,Market,1,4,MEDIUM
Medical Emergency,Road,3,1,MEDIUM
Harassment,Railway Station,2,1,LOW
Accident,Bus Stop,3,2,MEDIUM
Accident,Market,1,3,MEDIUM
Assault,Market,2,4,MEDIUM
Medical Emergency,Hostel,3,1,MEDIUM
Accident,Residential Area,4,2,MEDIUM
Medical Emergency,Park,5,3,MEDIUM
Threat,Market,4,4,HIGH
Suspicious Activity,Road,1,4,MEDIUM
Other,Hostel,1,5,MEDIUM
Assault,Road,3,4,MEDIUM
Accident,Railway Station,2,5,MEDIUM
Assault,Road,2,2,LOW
Other,Hostel,5,4,HIGH
Accident,Road,5,5,CRITICAL
Harassment,Road,3,3,MEDIUM
Unsafe Location,Bus Stop,1,4,MEDIUM
Suspicious Activity,Park,5,2,MEDIUM
Medical Emergency,Market,5,3,MEDIUM
Other,Railway Station,2,5,MEDIUM
Harassment,Road,4,3,MEDIUM
Suspicious Activity,Bus Stop,3,4,MEDIUM
Threat,Bus Stop,2,1,LOW
Threat,Market,3,4,MEDIUM
Unsafe Location,Residential Area,4,5,HIGH
Unsafe Location,Park,2,4,MEDIUM
Suspicious Activity,College,3,5,MEDIUM
Harassment,Bus Stop,3,2,MEDIUM
Harassment,Road,1,3,MEDIUM
Accident,Bus Stop,4,1,MEDIUM
Suspicious Activity,Market,3,5,MEDIUM
Suspicious Activity,Park,4,5,HIGH
Suspicious Activity,Park,4,4,HIGH
Other,Bus Stop,2,1,LOW
Assault,Hostel,1,5,MEDIUM
Other,Park,1,4,MEDIUM
Harassment,Market,2,5,MEDIUM
Medical Emergency,Railway Station,1,1,LOW
Other,Railway Station,4,4,HIGH
Assault,Road,1,4,MEDIUM
Harassment,Railway Station,1,1,LOW
Suspicious Activity,Bus Stop,3,4,MEDIUM
Assault,College,3,2,MEDIUM
Threat,Railway Station,2,2,LOW
Other,Park,1,2,LOW
Other,Market,3,2,MEDIUM
Accident,Railway Station,3,1,MEDIUM
Suspicious Activity,College,2,4,MEDIUM
Harassment,Hostel,2,3,MEDIUM
Assault,Road,1,5,MEDIUM
Threat,College,5,2,MEDIUM
Medical Emergency,Market,4,5,HIGH
Medical Emergency,Park,2,2,LOW
Accident,Residential Area,1,3,MEDIUM
Threat,Bus Stop,2,2,LOW
Other,College,1,5,MEDIUM
Harassment,Market,5,4,HIGH
Harassment,Market,3,2,MEDIUM
Threat,College,5,3,MEDIUM
Suspicious Activity,Market,4,2,MEDIUM
Unsafe Location,Park,4,2,MEDIUM
Harassment,Park,2,3,MEDIUM
Suspicious Activity,Bus Stop,4,1,MEDIUM
Accident,Bus Stop,4,2,MEDIUM
Suspicious Activity,Park,3,4,MEDIUM
Harassment,Park,4,1,MEDIUM
Assault,College,5,1,MEDIUM
Suspicious Activity,Market,3,5,MEDIUM
Medical Emergency,Bus Stop,1,2,LOW
Accident,Road,3,1,MEDIUM
Accident,Residential Area,3,1,MEDIUM
Suspicious Activity,Bus Stop,3,4,MEDIUM
Assault,Market,2,3,MEDIUM
Other,Park,5,1,MEDIUM
Medical Emergency,Road,1,4,MEDIUM
Assault,College,3,1,MEDIUM
Other,Hostel,3,4,MEDIUM
Threat,College,4,1,MEDIUM
Harassment,College,1,2,LOW
Harassment,Road,5,5,CRITICAL
Medical Emergency,Market,3,3,MEDIUM
Assault,Market,2,3,MEDIUM
Threat,Hostel,4,4,HIGH
Medical Emergency,Hostel,2,5,MEDIUM
Other,Park,1,5,MEDIUM
Unsafe Location,Bus Stop,1,3,MEDIUM
Medical Emergency,Road,2,1,LOW
Suspicious Activity,Park,5,4,HIGH
Harassment,Park,1,5,MEDIUM
Other,Railway Station,5,2,MEDIUM
Medical Emergency,Bus Stop,3,1,MEDIUM
Medical Emergency,Market,2,3,MEDIUM
Medical Emergency,Market,2,3,MEDIUM
Suspicious Activity,Road,1,3,MEDIUM
Accident,Residential Area,2,1,LOW
Medical Emergency,Bus Stop,5,3,MEDIUM
Assault,Market,4,4,HIGH
Suspicious Activity,Residential Area,3,1,MEDIUM
Suspicious Activity,Hostel,2,1,LOW
Threat,Railway Station,4,1,MEDIUM
Accident,Park,2,5,MEDIUM
Unsafe Location,Residential Area,2,3,MEDIUM
Assault,Road,5,5,CRITICAL
Medical Emergency,Bus Stop,2,5,MEDIUM
Medical Emergency,Road,3,3,MEDIUM
Harassment,Road,4,1,MEDIUM
Other,Hostel,5,2,MEDIUM
Unsafe Location,Residential Area,5,5,CRITICAL
Medical Emergency,Railway Station,4,5,HIGH
Threat,Residential Area,3,4,MEDIUM
Unsafe Location,College,3,3,MEDIUM
Harassment,College,1,4,MEDIUM
Suspicious Activity,Hostel,3,5,MEDIUM
Medical Emergency,Hostel,2,4,MEDIUM
Other,Bus Stop,1,4,MEDIUM
Other,Road,5,4,HIGH
Other,College,2,4,MEDIUM
Threat,Market,3,5,MEDIUM
Harassment,Road,2,3,MEDIUM
Other,Road,3,3,MEDIUM
Threat,Park,2,5,MEDIUM
Assault,Hostel,2,3,MEDIUM
Harassment,Bus Stop,2,5,MEDIUM
Harassment,College,2,4,MEDIUM
Assault,Park,4,2,MEDIUM
Suspicious Activity,College,4,4,HIGH
Accident,Road,3,4,MEDIUM
Accident,Railway Station,4,5,HIGH
Other,Market,2,2,LOW
Other,Railway Station,4,1,MEDIUM
Medical Emergency,Bus Stop,4,2,MEDIUM
Accident,Railway Station,1,3,MEDIUM
Suspicious Activity,College,2,2,LOW
Harassment,Park,4,2,MEDIUM
Unsafe Location,Market,5,2,MEDIUM
Accident,Market,3,5,MEDIUM
Harassment,Road,3,3,MEDIUM
Accident,Hostel,1,1,LOW
Medical Emergency,Market,5,1,MEDIUM
Accident,Residential Area,3,5,MEDIUM
Other,Hostel,1,3,MEDIUM
Suspicious Activity,Market,3,5,MEDIUM
Harassment,Market,4,2,MEDIUM
Threat,Railway Station,5,4,HIGH
Harassment,Road,4,1,MEDIUM
Medical Emergency,Market,4,1,MEDIUM
Accident,Hostel,1,2,LOW
Harassment,Market,2,2,LOW
Assault,College,5,4,HIGH
Assault,Hostel,4,2,MEDIUM
Medical Emergency,Bus Stop,3,4,MEDIUM
Suspicious Activity,Hostel,2,1,LOW
Suspicious Activity,Residential Area,1,5,MEDIUM
Threat,Market,1,2,LOW
Threat,College,4,4,HIGH
Assault,Railway Station,5,4,HIGH
Suspicious Activity,Railway Station,2,3,MEDIUM
Assault,Bus Stop,3,5,MEDIUM
Suspicious Activity,College,5,5,CRITICAL
Harassment,Market,4,4,HIGH
Harassment,College,3,5,MEDIUM
Accident,Railway Station,2,1,LOW
Threat,Market,4,1,MEDIUM
Unsafe Location,Bus Stop,4,2,MEDIUM
Harassment,Residential Area,2,1,LOW
Medical Emergency,Market,3,4,MEDIUM
Other,Road,5,2,MEDIUM
Medical Emergency,Railway Station,4,5,HIGH
Assault,Railway Station,1,5,MEDIUM
Harassment,Railway Station,1,5,MEDIUM
Assault,Hostel,2,5,MEDIUM
Medical Emergency,Park,3,4,MEDIUM
Harassment,Bus Stop,2,1,LOW
Accident,Bus Stop,1,5,MEDIUM
Other,Railway Station,2,1,LOW
Harassment,Road,3,5,MEDIUM
Harassment,Road,1,5,MEDIUM
Accident,Residential Area,3,2,MEDIUM
Accident,Hostel,1,3,MEDIUM
Accident,College,2,1,LOW
Medical Emergency,Residential Area,1,3,MEDIUM
Accident,College,4,2,MEDIUM
Other,Park,2,5,MEDIUM
Accident,Road,4,2,MEDIUM
Unsafe Location,Market,1,1,LOW
Harassment,Road,5,2,MEDIUM
Medical Emergency,Market,4,5,HIGH
Harassment,Residential Area,2,2,LOW
Suspicious Activity,College,2,4,MEDIUM
Accident,Hostel,1,4,MEDIUM
Suspicious Activity,Residential Area,5,3,MEDIUM
Unsafe Location,Park,4,3,MEDIUM
Harassment,Road,4,3,MEDIUM
Harassment,Hostel,2,2,LOW
Medical Emergency,Residential Area,5,1,MEDIUM
Other,Residential Area,3,5,MEDIUM
Threat,Market,5,3,MEDIUM
Unsafe Location,Park,5,3,MEDIUM
Medical Emergency,College,3,4,MEDIUM
Medical Emergency,Residential Area,4,5,HIGH
Assault,Residential Area,5,3,MEDIUM
Medical Emergency,Hostel,5,3,MEDIUM
Accident,Hostel,3,3,MEDIUM
Suspicious Activity,Residential Area,5,1,MEDIUM
Accident,Park,2,2,LOW
Harassment,Market,1,1,LOW
Other,Bus Stop,4,3,MEDIUM
Harassment,Residential Area,4,5,HIGH
Harassment,Market,3,2,MEDIUM
Suspicious Activity,Market,2,1,LOW
Accident,College,3,2,MEDIUM
Harassment,College,2,4,MEDIUM
Threat,Market,5,4,HIGH
Suspicious Activity,Road,4,5,HIGH
Accident,Railway Station,2,5,MEDIUM
